img-dnn,xapian,masstree,50,20,100,hist
1.897,141.959,6.062,0.03794,7.09795,0.06062,2.398836667
1.819,2528.865,5.427,0.03638,126.44325,0.05427,42.17796667
3.458,2969.089,129.681,0.06916,148.45445,1.29681,49.94014
10.915,7.069,4.388,0.2183,0.35345,0.04388,0.20521
3.782,6.079,3.719,0.07564,0.30395,0.03719,0.138926667
1.724,5.63,3.586,0.03448,0.2815,0.03586,0.11728
3.543,6.322,55.591,0.07086,0.3161,0.55591,0.31429
1.648,5.623,65.562,0.03296,0.28115,0.65562,0.323243333
1.741,5.659,3.582,0.03482,0.28295,0.03582,0.117863333
1.789,143.701,4.83,0.03578,7.18505,0.0483,2.423043333
2.342,402.937,54.977,0.04684,20.14685,0.54977,6.914486667
1.687,5.878,3.045,0.03374,0.2939,0.03045,0.119363333
506.048,6.59,117.19,10.12096,0.3295,1.1719,3.87412
1093.621,7.379,289.783,21.87242,0.36895,2.89783,8.379733333
4.349,5.877,3.685,0.08698,0.29385,0.03685,0.139226667
1.669,5.261,3.314,0.03338,0.26305,0.03314,0.109856667
1.959,14.474,4.284,0.03918,0.7237,0.04284,0.268573333
1.698,7.519,3.408,0.03396,0.37595,0.03408,0.147996667
1.773,4.804,3.274,0.03546,0.2402,0.03274,0.1028
3.083,11.213,3.238,0.06166,0.56065,0.03238,0.21823
1.936,5.124,63.47,0.03872,0.2562,0.6347,0.309873333
445.519,7.68,13.226,8.91038,0.384,0.13226,3.142213333
2.273,183.519,59.411,0.04546,9.17595,0.59411,3.27184
467.508,8.532,4.14,9.35016,0.4266,0.0414,3.27272
3.369,5.361,58.656,0.06738,0.26805,0.58656,0.30733
2.988,6.652,4.562,0.05976,0.3326,0.04562,0.145993333
3.293,110,4.959,0.06586,5.5,0.04959,1.871816667
246.774,231.338,523.548,4.93548,11.5669,5.23548,7.245953333
1.691,10.593,3.351,0.03382,0.52965,0.03351,0.198993333
1.81,7.922,3.579,0.0362,0.3961,0.03579,0.15603
1.899,8.25,4.111,0.03798,0.4125,0.04111,0.163863333
835.78,351.421,65.197,16.7156,17.57105,0.65197,11.64620667
10.547,7.126,3.22,0.21094,0.3563,0.0322,0.199813333
1.895,6.56,69.769,0.0379,0.328,0.69769,0.35453
3.506,5.094,43.106,0.07012,0.2547,0.43106,0.25196
5.27,6.288,3.924,0.1054,0.3144,0.03924,0.153013333
238.985,22.972,4.59,4.7797,1.1486,0.0459,1.9914
4.48,5.293,57.709,0.0896,0.26465,0.57709,0.310446667
1.827,8.617,3.36,0.03654,0.43085,0.0336,0.166996667
6.234,1388.36,132.14,0.12468,69.418,1.3214,23.62136
1.499,6.163,6.475,0.02998,0.30815,0.06475,0.134293333
2.685,2282.984,70.193,0.0537,114.1492,0.70193,38.30161
1146.269,19.813,181.228,22.92538,0.99065,1.81228,8.576103333
6.062,132.647,4.863,0.12124,6.63235,0.04863,2.267406667
9.187,5.999,3.583,0.18374,0.29995,0.03583,0.173173333
2.688,34.882,4.294,0.05376,1.7441,0.04294,0.6136
63.783,89.981,132.503,1.27566,4.49905,1.32503,2.36658
2.373,11.367,3.702,0.04746,0.56835,0.03702,0.21761
3.903,6.187,3.523,0.07806,0.30935,0.03523,0.14088
3.009,11.946,5.208,0.06018,0.5973,0.05208,0.23652
5.243,29.37,67.996,0.10486,1.4685,0.67996,0.751106667
4.107,6.613,3.697,0.08214,0.33065,0.03697,0.14992
2.295,22.161,4.807,0.0459,1.10805,0.04807,0.400673333
1.805,5.714,4.855,0.0361,0.2857,0.04855,0.12345
3.329,65.969,4.701,0.06658,3.29845,0.04701,1.137346667
7.247,7.959,4.817,0.14494,0.39795,0.04817,0.19702
2.915,7.188,4.731,0.0583,0.3594,0.04731,0.155003333
3.05,7.202,5.023,0.061,0.3601,0.05023,0.15711
1.595,5.082,5.832,0.0319,0.2541,0.05832,0.114773333
2.086,345.623,7.584,0.04172,17.28115,0.07584,5.79957
1.875,6.16,42.62,0.0375,0.308,0.4262,0.257233333
1.782,5.479,3.16,0.03564,0.27395,0.0316,0.11373
397.825,5.69,4.867,7.9565,0.2845,0.04867,2.763223333
